Clam,Observer ,Size_cm,Date,Treatment,Time_On,Time_Off,duration_hr,ht_after,log10_after,Treatment_Number,Notes
10,HH,9.5,20-Jan-20,No Cover,9:10 AM,3:28 PM,6.3,24,1.380211242,1,
24,SV,9,20-Jan-20,No Cover,10:07,16:11,6.07,16,1.204119983,1,
15,SV,15.5,20-Jan-20,No Cover,9:28,15:43,6.25,14,1.146128036,1,
26,EH,11,20-Jan-20,No Cover,10:09,16:00,5.85,20,1.301029996,1,
17,EH,9,20-Jan-20,No Cover,9:29,15:40,6.18,13,1.113943352,1,
19,HH,7.25,20-Jan-20,No Cover,9:55,16:04,6.15,22,1.342422681,1,
6,SV,10.5,20-Jan-20,No Cover,9:00,15:20,6.33,17,1.230448921,1,
8,EH,12.5,20-Jan-20,No Cover,9:00,15:20,6.33,22,1.342422681,1,
1,HH,10,20-Jan-20,No Cover,8:50,15:06,6.27,59,1.770852012,1,
28,HH,8.2,20-Jan-20,No Cover,10:18,16:27,6.15,120,2.079181246,1,
12,EH,13,22-Jan-20,No Cover,8:35,15:51,7.27,43,1.633468456,2,
25,SV,10.5,22-Jan-20,No Cover,9:31,16:40,7.15,24,1.380211242,2,
16,SV,7,22-Jan-20,No Cover,8:55,16:09,7.23,9,0.954242509,2,
5,HH,12.7,22-Jan-20,No Cover,8:26,15:24,6.97,16,1.204119983,2,
7,SV,7.5,22-Jan-20,No Cover,8:35,15:33,6.97,7,0.84509804,2,
14,HH,9,22-Jan-20,No Cover,8:56,16:02,7.1,10,1,2,
21,EH,9,22-Jan-20,No Cover,9:04,16:23,7.32,10,1,2,
3,EH,8.5,22-Jan-20,No Cover,8:18,15:24,7.1,26,1.414973348,2,
30,EH,10,22-Jan-20,No Cover,9:35,16:50,7.25,10,1,2,
23,HH,7.5,22-Jan-20,No Cover,9:21,16:27,7.1,22,1.342422681,2,
27,HH,12.5,24-Jan-20,No Cover,9:27,15:59,6.53,13,1.113943352,3,
4,EH,10.5,24-Jan-20,No Cover,8:23,14:58,6.58,44,1.643452676,3,
13,EH,7.5,24-Jan-20,No Cover,8:40,15:09,6.48,23,1.361727836,3,
18,HH,10,24-Jan-20,No Cover,8:51,15:30,6.65,26,1.414973348,3,
11,SV,8.5,24-Jan-20,No Cover,8:28,15:19,6.85,34,1.531478917,3,
2,SV,10,24-Jan-20,No Cover,8:05,15:00,6.92,18,1.255272505,3,
22,EH,13,24-Jan-20,No Cover,9:01,15:28,6.45,13,1.113943352,3,
9,HH,9,24-Jan-20,No Cover,8:28,15:10,6.7,12,1.079181246,3,
29,SV,9,24-Jan-20,No Cover,9:32,16:02,6.5,20,1.301029996,3,
20,SV,8,24-Jan-20,No Cover,9:26,15:36,6.17,15,1.176091259,3,
9,SV,9,20-Jan-20,Transparent,9:05,15:24,6.32,9,0.954242509,1,
