Clam,Depth_cm,Size_cm,Conspecifics,Date_On,Treatment ,Time_On,ht_initial,ht_before,Beaufort1,Date_Off,Time_Off,duration_hr,ht_after,log10_after,Beaufort2,Treatment_Number
12,75,8,0,Feb 3 2020,Black,18:02,19,19,1,Feb 9 2020,8:06,134.07,58,1.763427994,1,1
13,55,7.5,1,Feb 3 2020,No Cover,18:00,24,24,2,Feb 9 2020,8:03,134.05,36,1.556302501,1,1
14,67,10,0,Feb 3 2020,Transparent,18:00,17,17,1,Feb 9 2020,8:02,134.03,19,1.278753601,1,1
15,60,7.5,0,Feb 3 2020,Black,17:58,14,14,1,Feb 9 2020,8:00,134.03,18,1.255272505,1,1
16,50,6.5,0,Feb 3 2020,No Cover,17:55,13,13,1,Feb 9 2020,7:59,134.07,10,1,1,1
17,80,7,0,Feb 3 2020,Transparent,17:55,15,15,1,Feb 9 2020,7:58,134.05,15,1.176091259,1,1
18,73,9,1,Feb 3 2020,Black,17:52,16,16,1,Feb 9 2020,7:54,134.03,18,1.255272505,1,1
19,65,9.5,0,Feb 3 2020,No Cover,17:49,18,18,1,Feb 9 2020,7:49,134,8,0.903089987,1,1
20,30,6.5,0,Feb 3 2020,Transparent,17:49,26,26,1,Feb 9 2020,7:45,133.93,61,1.785329835,1,1
21,65,6.5,0,Feb 3 2020,Black,17:47,15,15,1,Feb 9 2020,7:41,133.9,92,1.963787827,1,1
22,83,8,0,Feb 3 2020,No Cover,17:47,31,31,1,Feb 9 2020,7:39,133.87,9,0.954242509,1,1
